22-04-2026 05:30:46.208 | DEBUG | [] INIT | BaseUrl=http://localhost:5000/api/ DeviceType=2 IP=
22-04-2026 05:30:46.209 | DEBUG | [] RUN | Jitter delay=83ms before login
22-04-2026 05:30:46.302 | DEBUG | [] POLL-LOOP | Started | Interval=8s
22-04-2026 05:30:46.302 | DEBUG | [] POLL-LOOP | Skipped — not connected
22-04-2026 05:30:46.302 | DEBUG | [] EVENT-LOOP | Started | Interval=5s EventCount=100
22-04-2026 05:30:46.302 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:30:46.303 | DEBUG | [] BULK-LOOP | Started | Every=10s BulkCount=1000
22-04-2026 05:30:47.309 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:30:48.319 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:30:49.318 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:30:50.331 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:30:51.333 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:30:52.347 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:30:53.360 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:30:54.311 | DEBUG | [] POLL-LOOP | Skipped — not connected
22-04-2026 05:30:54.373 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:30:55.375 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:30:56.310 | DEBUG | [] BULK-LOOP | Skipped — not connected
22-04-2026 05:30:56.377 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:30:57.389 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:30:58.404 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:30:59.415 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:00.420 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:01.430 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:02.320 | DEBUG | [] POLL-LOOP | Skipped — not connected
22-04-2026 05:31:02.445 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:03.452 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:04.464 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:05.465 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:06.325 | DEBUG | [] BULK-LOOP | Skipped — not connected
22-04-2026 05:31:06.481 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:07.487 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:08.496 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:09.500 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:10.325 | DEBUG | [] POLL-LOOP | Skipped — not connected
22-04-2026 05:31:10.511 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:11.524 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:12.537 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:13.543 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:14.557 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:15.572 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:16.333 | DEBUG | [] BULK-LOOP | Skipped — not connected
22-04-2026 05:31:16.583 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:17.598 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:18.329 | DEBUG | [] POLL-LOOP | Skipped — not connected
22-04-2026 05:31:18.610 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:19.623 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:20.633 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:21.643 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:22.652 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:23.666 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:24.673 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:25.679 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:26.335 | DEBUG | [] POLL-LOOP | Skipped — not connected
22-04-2026 05:31:26.335 | DEBUG | [] BULK-LOOP | Skipped — not connected
22-04-2026 05:31:26.684 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:27.692 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:28.705 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:29.707 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:30.717 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:31.720 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:32.721 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:33.735 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:34.341 | DEBUG | [] POLL-LOOP | Skipped — not connected
22-04-2026 05:31:34.746 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:35.753 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:36.341 | DEBUG | [] BULK-LOOP | Skipped — not connected
22-04-2026 05:31:36.760 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:37.772 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:38.778 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:39.788 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:40.799 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:41.811 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:42.357 | DEBUG | [] POLL-LOOP | Skipped — not connected
22-04-2026 05:31:42.824 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:43.833 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:44.845 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:45.860 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:46.354 | DEBUG | [] BULK-LOOP | Skipped — not connected
22-04-2026 05:31:46.870 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:47.873 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:48.888 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:49.894 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:50.363 | DEBUG | [] POLL-LOOP | Skipped — not connected
22-04-2026 05:31:50.901 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:51.911 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:52.922 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:53.936 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:54.949 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:55.957 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:56.361 | DEBUG | [] BULK-LOOP | Skipped — not connected
22-04-2026 05:31:56.970 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:57.984 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:31:58.373 | DEBUG | [] POLL-LOOP | Skipped — not connected
22-04-2026 05:31:58.997 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:00.008 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:01.023 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:02.025 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:03.033 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:04.048 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:05.060 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:06.072 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:06.369 | DEBUG | [] BULK-LOOP | Skipped — not connected
22-04-2026 05:32:06.384 | DEBUG | [] POLL-LOOP | Skipped — not connected
22-04-2026 05:32:07.081 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:08.095 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:09.102 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:10.116 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:11.131 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:12.141 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:13.141 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:14.155 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:14.388 | DEBUG | [] POLL-LOOP | Skipped — not connected
22-04-2026 05:32:15.158 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:16.167 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:16.371 | DEBUG | [] BULK-LOOP | Skipped — not connected
22-04-2026 05:32:17.175 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:18.183 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:19.194 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:20.205 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:21.215 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:22.226 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:22.398 | DEBUG | [] POLL-LOOP | Skipped — not connected
22-04-2026 05:32:23.238 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:24.249 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:25.261 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:26.273 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:26.382 | DEBUG | [] BULK-LOOP | Skipped — not connected
22-04-2026 05:32:27.286 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:28.298 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:29.306 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:30.320 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:30.398 | DEBUG | [] POLL-LOOP | Skipped — not connected
22-04-2026 05:32:31.328 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:32.338 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:33.338 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:34.349 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:35.364 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:36.376 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:36.390 | DEBUG | [] BULK-LOOP | Skipped — not connected
22-04-2026 05:32:37.380 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:38.386 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:38.402 | DEBUG | [] POLL-LOOP | Skipped — not connected
22-04-2026 05:32:39.397 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:40.398 | DEBUG | [] EVENT-LOOP | Skipped — not connected
22-04-2026 05:32:41.399 | DEBUG | [] EVENT-LOOP | Skipped — not connected
