22-04-2026 16:19:15.105 | INFO  | [PROGRAM] Starting 16 device simulator(s) | Server=http://localhost:5000/api/
22-04-2026 16:19:15.113 | INFO  | [PROGRAM] Launching simulator for MAC=00:1B:09:00:00:45 IP=192.168.0.45 Type=46
22-04-2026 16:19:15.121 | INFO  | [PROGRAM] Launching simulator for MAC=00:1B:09:00:00:46 IP=192.168.0.46 Type=47
22-04-2026 16:19:15.121 | INFO  | [PROGRAM] Launching simulator for MAC=00:1B:09:00:00:47 IP=192.168.0.47 Type=48
22-04-2026 16:19:15.121 | INFO  | [PROGRAM] Launching simulator for MAC=00:1B:09:00:00:48 IP=192.168.0.48 Type=49
22-04-2026 16:19:15.121 | INFO  | [PROGRAM] Launching simulator for MAC=00:1B:09:00:00:49 IP=192.168.0.49 Type=50
22-04-2026 16:19:15.121 | INFO  | [PROGRAM] Launching simulator for MAC=00:1B:09:00:00:50 IP=192.168.0.50 Type=51
22-04-2026 16:19:15.121 | INFO  | [PROGRAM] Launching simulator for MAC=00:1B:09:00:00:51 IP=192.168.0.51 Type=52
22-04-2026 16:19:15.121 | INFO  | [PROGRAM] Launching simulator for MAC=00:1B:09:00:00:52 IP=192.168.0.52 Type=53
22-04-2026 16:19:15.121 | INFO  | [PROGRAM] Launching simulator for MAC=00:1B:09:00:00:53 IP=192.168.0.53 Type=54
22-04-2026 16:19:15.121 | INFO  | [PROGRAM] Launching simulator for MAC=00:1B:09:00:00:54 IP=192.168.0.54 Type=55
22-04-2026 16:19:15.121 | INFO  | [PROGRAM] Launching simulator for MAC=00:1B:09:00:00:55 IP=192.168.0.55 Type=56
22-04-2026 16:19:15.121 | INFO  | [PROGRAM] Launching simulator for MAC=00:1B:09:00:00:56 IP=192.168.0.56 Type=57
22-04-2026 16:19:15.121 | INFO  | [PROGRAM] Launching simulator for MAC=00:1B:09:00:00:57 IP=192.168.0.57 Type=58
22-04-2026 16:19:15.121 | INFO  | [PROGRAM] Launching simulator for MAC=00:1B:09:00:00:58 IP=192.168.0.58 Type=59
22-04-2026 16:19:15.121 | INFO  | [PROGRAM] Launching simulator for MAC=00:1B:09:00:00:59 IP=192.168.0.59 Type=60
22-04-2026 16:19:15.121 | INFO  | [PROGRAM] Launching simulator for MAC=00:1B:09:00:00:60 IP=192.168.0.60 Type=61
22-04-2026 16:19:15.121 | INFO  | [PROGRAM] All 16 device(s) started
22-04-2026 16:19:15.169 | INFO  | [00:1B:09:00:00:52] RUN | Initial login starting
22-04-2026 16:19:15.171 | INFO  | [00:1B:09:00:00:52] LOGIN | START | Attempt=1
22-04-2026 16:19:15.342 | INFO  | [00:1B:09:00:00:46] RUN | Initial login starting
22-04-2026 16:19:15.342 | INFO  | [00:1B:09:00:00:46] LOGIN | START | Attempt=1
22-04-2026 16:19:15.499 | INFO  | [00:1B:09:00:00:49] RUN | Initial login starting
22-04-2026 16:19:15.499 | INFO  | [00:1B:09:00:00:49] LOGIN | START | Attempt=1
22-04-2026 16:19:16.393 | INFO  | [00:1B:09:00:00:56] RUN | Initial login starting
22-04-2026 16:19:16.393 | INFO  | [00:1B:09:00:00:56] LOGIN | START | Attempt=1
22-04-2026 16:19:17.735 | INFO  | [00:1B:09:00:00:55] RUN | Initial login starting
22-04-2026 16:19:17.735 | INFO  | [00:1B:09:00:00:55] LOGIN | START | Attempt=1
22-04-2026 16:19:17.987 | INFO  | [00:1B:09:00:00:53] RUN | Initial login starting
22-04-2026 16:19:17.988 | INFO  | [00:1B:09:00:00:53] LOGIN | START | Attempt=1
22-04-2026 16:19:17.991 | INFO  | [00:1B:09:00:00:49] LOGIN | SUCCESS | DeviceID=49 TypeMID=111506ca6357
22-04-2026 16:19:17.991 | INFO  | [00:1B:09:00:00:52] LOGIN | SUCCESS | DeviceID=52 TypeMID=97f95615591d
22-04-2026 16:19:17.991 | INFO  | [00:1B:09:00:00:46] LOGIN | SUCCESS | DeviceID=46 TypeMID=54cab9759596
22-04-2026 16:19:17.992 | INFO  | [00:1B:09:00:00:52] RESTORE | START
22-04-2026 16:19:17.992 | INFO  | [00:1B:09:00:00:49] RESTORE | START
22-04-2026 16:19:17.992 | INFO  | [00:1B:09:00:00:46] RESTORE | START
22-04-2026 16:19:18.081 | INFO  | [00:1B:09:00:00:49] RESTORE | SUCCESS
22-04-2026 16:19:18.081 | INFO  | [00:1B:09:00:00:46] RESTORE | SUCCESS
22-04-2026 16:19:18.082 | INFO  | [00:1B:09:00:00:49] SUPERVISOR | Starting connection supervisor
22-04-2026 16:19:18.082 | INFO  | [00:1B:09:00:00:46] SUPERVISOR | Starting connection supervisor
22-04-2026 16:19:18.082 | INFO  | [00:1B:09:00:00:46] RUN | Starting all loops
22-04-2026 16:19:18.082 | INFO  | [00:1B:09:00:00:49] RUN | Starting all loops
22-04-2026 16:19:18.083 | INFO  | [00:1B:09:00:00:52] RESTORE | SUCCESS
22-04-2026 16:19:18.083 | INFO  | [00:1B:09:00:00:52] SUPERVISOR | Starting connection supervisor
22-04-2026 16:19:18.083 | INFO  | [00:1B:09:00:00:52] RUN | Starting all loops
22-04-2026 16:19:18.177 | INFO  | [00:1B:09:00:00:59] RUN | Initial login starting
22-04-2026 16:19:18.177 | INFO  | [00:1B:09:00:00:59] LOGIN | START | Attempt=1
22-04-2026 16:19:18.440 | INFO  | [00:1B:09:00:00:56] LOGIN | SUCCESS | DeviceID=56 TypeMID=0ef911627a35
22-04-2026 16:19:18.440 | INFO  | [00:1B:09:00:00:56] RESTORE | START
22-04-2026 16:19:18.466 | INFO  | [00:1B:09:00:00:56] RESTORE | SUCCESS
22-04-2026 16:19:18.466 | INFO  | [00:1B:09:00:00:56] SUPERVISOR | Starting connection supervisor
22-04-2026 16:19:18.466 | INFO  | [00:1B:09:00:00:56] RUN | Starting all loops
22-04-2026 16:19:18.748 | INFO  | [00:1B:09:00:00:51] RUN | Initial login starting
22-04-2026 16:19:18.748 | INFO  | [00:1B:09:00:00:51] LOGIN | START | Attempt=1
