[2026-04-16 16:41:46.639 INF] [LOGIN] TypeMID:210c0348e116 DeviceID:100 Name:Device-100 Result:SUCCESS Duration:508ms
[2026-04-16 16:41:46.739 WRN] [RESTORE] TypeMID:210c0348e116 DeviceID:100 RestoredRows:0 ReqTime:11:11:46.711 Duration:26ms
[2026-04-16 16:41:46.903 INF] [POLL-SENT] TypeMID:210c0348e116 DeviceID:100 Name:Device-100 RowsSent:1 TotalPending:6630 TrnIDs:[30123] ReqTime:11:11:46.754 Duration:144ms
[2026-04-16 16:41:46.905 INF] [POLL-ROW] TrnID:30123 TypeMID:210c0348e116 MsgStr:ENROLL| UID:USER0105|DID:15 RetryCnt:2 
[2026-04-16 16:41:46.940 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #1 ReqTime:"2026-04-16T16:41:46.9161684+05:30" Duration:21ms
[2026-04-16 16:41:46.948 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #2 ReqTime:"2026-04-16T16:41:46.9450618+05:30" Duration:1ms
[2026-04-16 16:41:46.953 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #3 ReqTime:"2026-04-16T16:41:46.9504967+05:30" Duration:1ms
[2026-04-16 16:41:46.959 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #4 ReqTime:"2026-04-16T16:41:46.9570551+05:30" Duration:1ms
[2026-04-16 16:41:46.964 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #5 ReqTime:"2026-04-16T16:41:46.9623763+05:30" Duration:1ms
[2026-04-16 16:41:46.969 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #6 ReqTime:"2026-04-16T16:41:46.9671568+05:30" Duration:1ms
[2026-04-16 16:41:46.974 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #7 ReqTime:"2026-04-16T16:41:46.9721767+05:30" Duration:1ms
[2026-04-16 16:41:46.979 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #8 ReqTime:"2026-04-16T16:41:46.9771438+05:30" Duration:1ms
[2026-04-16 16:41:46.984 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #9 ReqTime:"2026-04-16T16:41:46.9819849+05:30" Duration:1ms
[2026-04-16 16:41:46.989 INF] [EVENT] TypeMID:210c0348e116 DeviceID:100 Message:Heartbeat #10 ReqTime:"2026-04-16T16:41:46.9866760+05:30" Duration:1ms
